indentation	style_name	style_description
	Ambient 	Emphasizes texture and tone over traditional musical structure, aimed at evoking a particular atmosphere or mood.
;	Ambient Americana 	Made using traditional Americana and Country instrumentation, typically to evoke a pastoral atmosphere.
;	Dark Ambient 	Emphasizes an ominous, gloomy, and dissonant atmosphere.
;;	Black Ambient 	Incorporates elements such as guitars, synthesizers, harsh or whispered vocals, raw production, or other elements associated with Black Metal and Dungeon Synth.
;;	Ritual Ambient 	Dark, deep, disturbing, ritualistic, and occult atmosphere.
;	Space Ambient 	Flowing and relaxing synthesizer-based music derived from Progressive Electronic, often oriented around imagery of outer space.
;	Tribal Ambient 	Combines the theory and atmosphere of Ambient with traditional instruments and sounds from around the globe.
	Blues 	Originated toward the end of the 19th century in African American communities in the United States, particularly the Deep South; drew on traditional Spirituals and Work Song; highly influential to the whole of Western popular music.
;	Acoustic Blues 	Developed out of Work Song and Spirituals to become the most prominent early form of Blues.
;;	Acoustic Chicago Blues 	Unplugged Blues made in the Chicago region, primarily during the 1930s and 1940s.
;;	Acoustic Texas Blues 	Laid-back swing rhythms and guitar ornamentation, including solos.
;;	Jug Band 	Usually features a jug as the bass instrument as well as other homemade (or easily affordable) instruments, such as kazoos and washboards.
;;	Piedmont Blues 	Developed in the early 20th century in the southern Appalachian foothills and characterized by a syncopated but melodic Ragtime-based finger-picking acoustic guitar style.
;	Boogie Woogie 	Early, uptempo Blues featuring the piano as the main instrument, with soloing and improvisation played over the top of a repetitive eight note bassline.
;	Country Blues 	Various styles of Blues originating in the rural US South, typically relying on expressive vocal delivery and featuring simple, usually acoustic instrumentation.
;;	Acoustic Texas Blues 	Laid-back swing rhythms and guitar ornamentation, including solos.
;;	Delta Blues 	One of the earliest forms of Blues, named for the Mississippi Delta region of the United States where it developed, with a highly rhythmic style and a typical 12-bar structure.
;;	Hill Country Blues 	Emphasizes a steady hypnotic groove, sparse percussive and highly energetic guitar riffs, and often features meandering structures with unconventional and usually fewer chord changes compared to Delta Blues.
;;	Piedmont Blues 	Developed in the early 20th century in the southern Appalachian foothills and characterized by a syncopated but melodic Ragtime-based finger-picking acoustic guitar style.
;	Electric Blues 	Major development in sound and reach of Blues when it became possible to amplify the instruments of small combos.
;;	British Blues 	Heavily influenced by the burgeoning United States Blues scene, particularly Chicago Blues.
;;	Chicago Blues 	Heavily inspired by old-time rural blues, transferring it into a small band setup, while maintaining the rough and gritty edges of its ancestry.
;;	Electric Texas Blues 	Originating in (but not limited to) Texas; includes Jazz influences like Swing rhythms and sometimes the addition of a horn section.
;;	Swamp Blues 	Originated in Baton Rouge, Louisiana in the 1950s, with a laid-back and relaxed sound that takes influence from Zydeco and Cajun Music.
;	Fife and Drum Blues 	Rooted in martial Fife and Drum Corps music, originated among Afro-American communities in Mississippi.
;	Jump Blues 	Emerged in the late 1930s with influence from Jazz styles such as Swing and Big Band, featuring fast tempos and raucous performances.
;	Piano Blues 	Played either solo or with the piano as the lead instrument of a small combo performing slow or mid-tempo blues ballads, as opposed to the commonly fast-paced Boogie Woogie.
;	Soul Blues 	Shares similarities with Soul and incorporates the eponymous soulful inflections of Gospel, Jump Blues and soul into the vocals.
;	Vaudeville Blues 	Vaudeville incorporating heavy Blues elements.
	Classical Music 	Part of a broad generalization about the structure and function of music throughout history across the globe, describing traditions distinct from Traditional Folk Music and popular music.
;	Buganda Royal Court Music 	Highest traditional and refined musical forms of Buganda, reserved for the Kabaka (the king of Buganda).
